row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Sample4_tokens,Sample5_tokens
226,68,7321,7389,6462,1292.4,2047,0.882666,1060,2047,672,718,1965
227,68,3045,3113,2583,516.6,565,0.848276,523,498,523,474,565
228,68,8461,8529,7880,1576.0,1645,0.931332,1645,1604,1607,1551,1473
229,68,13680,13748,11992,2398.4,4164,0.876608,3124,1102,1751,4164,1851
230,68,5814,5882,4919,983.8,1430,0.846061,1062,1430,1107,748,572
231,68,9680,9748,7611,1522.2,3126,0.78626,2076,3126,638,854,917
232,68,9516,9584,8712,1742.4,3138,0.915511,1172,1783,3138,1650,969
233,68,7623,7691,7090,1418.0,2273,0.93008,2273,1117,1349,686,1665
234,68,8948,9016,8293,1658.6,1950,0.926799,1729,1679,1950,1463,1472
235,68,11713,11781,10878,2175.6,3106,0.928712,2057,2334,3106,1267,2114
236,68,8275,8343,7253,1450.6,1963,0.876495,1266,1262,1380,1963,1382
237,68,7169,7237,6420,1284.0,2085,0.895522,1132,1392,835,2085,976
238,68,5240,5308,4728,945.6,1096,0.90229,934,1000,1096,1030,668
239,68,5247,5315,4599,919.8,1115,0.876501,873,759,925,1115,927
240,68,6581,6649,6029,1205.8,2056,0.916122,686,992,895,2056,1400
241,68,7074,7142,6331,1266.2,1706,0.894967,1706,680,1665,769,1511
242,68,4951,5019,4298,859.6,1042,0.868107,805,1042,1019,653,779
243,68,3668,3736,3141,628.2,898,0.856325,898,371,549,534,789
244,68,7685,7753,6752,1350.4,2112,0.878595,2112,1145,1145,1153,1197
245,68,3739,3807,3177,635.4,772,0.849692,772,705,575,523,602
246,68,5205,5273,4099,819.8,876,0.787512,788,840,836,759,876
247,68,6102,6170,5315,1063.0,1209,0.871026,1209,1096,1002,909,1099
248,68,7142,7210,6520,1304.0,2217,0.91291,987,818,2217,893,1605
249,68,7352,7420,6197,1239.4,2054,0.8429,1158,2054,1343,680,962
250,68,6128,6196,5542,1108.4,1376,0.904373,604,1057,1362,1376,1143
251,68,6928,6996,6278,1255.6,1822,0.906178,1155,1822,779,893,1629
252,68,8983,9051,8298,1659.6,3484,0.923745,3484,774,2037,613,1390
253,68,7537,7605,6822,1364.4,2290,0.905135,1197,1065,914,1356,2290
254,68,9956,10024,8953,1790.6,2576,0.899257,2398,1158,2094,2576,727
255,68,4734,4802,4161,832.2,1281,0.878961,446,1087,624,723,1281
